category,kernels,venue,year,title,authors,platform,approach,confidence,cited_by,doi,dblp_url,oa_url,one_liner,artifact_status,artifact_url,artifact_stars,artifact_license,artifact_last_push
ML kernels (HPC-crossing),KV-cache lossy compression; GEMV,IPDPS,2026,PackKV: Reducing KV Cache Memory Footprint through LLM-Aware Lossy Compression,Bo Jiang; Taolue Yang; Youyuan Liu; Xubin He; Sheng Di; Sian Jin,nvidia-gpu,manual,medium,0,10.1109/IPDPS65963.2026.00057,https://dblp.org/rec/conf/ipps/JiangYLHDJ26,,LLM-aware lossy KV-cache compression that also accelerates matrix-vector multiply vs cuBLAS,verified,https://github.com/BoJiang03/PackKV,8,MIT,2026-01-30
Compression kernels,floating-point memory compression,IPDPS,2026,SLEEK: Compressing Memory Copies for Floating-Point Data on GPUs,Anju Mongandampulath Akathoott; Andrew Rodriguez; Martin Burtscher,nvidia-gpu; cpu,manual,high,0,10.1109/IPDPS65963.2026.00022,https://dblp.org/rec/conf/ipps/AkathoottRB26,,SLEEK: fast lossy/lossless FP memory-copy compression rivaling GPU memcpy speed,none,,0,,
Compression kernels,lossy compression; progressive decompression,PPoPP,2026,PRISM: An Efficient GPU-Based Lossy Compression Framework for Progressive Data Retrieval with Multi-Level Interpolation,Bing Lu 0001; Zedong Liu; Hairui Zhao 0002; Dejun Luo; Wenjing Huang 0002; Yida Gu et al.,nvidia-gpu,manual,high,1,10.1145/3774934.3786438,https://dblp.org/rec/conf/ppopp/0001LZL0G0TT26,,"PRISM: GPU progressive lossy compressor with multi-interpolation and bitplane coding, 20x throughput",none,,0,,
Compression kernels,lossless compression; decompression,ASPLOS,2025,Efficient Lossless Compression of Scientific Floating-Point Data on CPUs and GPUs,Noushin Azami; Alex Fallin; Martin Burtscher,cpu; nvidia-gpu,algorithmic,high,14,10.1145/3669940.3707280,https://dblp.org/rec/conf/asplos/AzamiFB25,,Four CPU/GPU-portable lossless FP compressors; >500 GB/s on RTX 4090 with top compression ratios,none,,0,,
Compression kernels,lossy compression,HPDC,2025,IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,Zhuoxun Yang; Sheng Di; Longtao Zhang; Ruoyu Li; Ximiao Li; Jiajun Huang 0001 et al.,cpu,algorithmic,high,7,10.1145/3731545.3731578,https://dblp.org/rec/conf/hpdc/YangDZLL00C025,,"Interpolation-based progressive lossy compressor, up to 487% higher ratio and 698% faster",verified,https://github.com/JasonYang60/IPComp,10,NOASSERTION,2025-04-27
Compression kernels,lossy compression; state-vector simulation,ICS,2025,BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,Boyuan Zhang 0002; Bo Fang 0002; Fanjiang Ye; Luanzheng Guo; Fengguang Song; Nathan R. Tallent et al.,nvidia-gpu,algorithmic,high,3,10.1145/3721145.3725747,https://dblp.org/rec/conf/ics/00020YGSTT25,https://doi.org/10.1145/3721145.3725747,GPU state-vector quantum simulation with novel error-bounded lossy compression,none,,0,,
Tensor algebra,lossy compression; state-vector simulation,ICS,2025,BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,Boyuan Zhang 0002; Bo Fang 0002; Fanjiang Ye; Luanzheng Guo; Fengguang Song; Nathan R. Tallent et al.,nvidia-gpu,algorithmic,high,3,10.1145/3721145.3725747,https://dblp.org/rec/conf/ics/00020YGSTT25,https://doi.org/10.1145/3721145.3725747,GPU state-vector quantum simulation with novel error-bounded lossy compression,none,,0,,
Compression kernels,error-bounded lossy compression,ICS,2025,Pushing the Limits of GPU Lossy Compression: A Hierarchical Delta Approach,Boyuan Zhang 0002; Yafan Huang; Sheng Di; Fengguang Song; Guanpeng Li; Franck Cappello,nvidia-gpu,manual,high,5,10.1145/3721145.3725743,https://dblp.org/rec/conf/ics/0002HDSLC25,https://doi.org/10.1145/3721145.3725743,"Aatrox single-kernel GPU error-bounded lossy compressor, ~388/718 GB/s compress/decompress",none,,0,,
Compression kernels,homomorphic lossy compression,ICS,2025,ghZCCL: Advancing GPU-aware Collective Communications with Homomorphic Compression,Jiajun Huang 0001; Sheng Di; Yafan Huang; Zizhong Chen; Franck Cappello; Yanfei Guo et al.,nvidia-gpu; distributed,algorithmic,medium,4,10.1145/3721145.3733642,https://dblp.org/rec/conf/ics/0001DHCCGT25,https://doi.org/10.1145/3721145.3733642,"ghZCCL: first GPU homomorphic lossy compressor, beating cuSZp2 by 3.47-3.89x, enabling compute-on-compressed collectives",none,,0,,
Compression kernels,error-bounded lossy compression,IPDPS,2025,A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,Shihui Song; Robert Underwood; Sheng Di; Yafan Huang; Peng Jiang 0004; Franck Cappello,other,manual,high,5,10.1109/IPDPS64566.2025.00084,https://dblp.org/rec/conf/ipps/SongUDH0C25,,"CERESZ-II: memory-efficient error-bounded lossy compressor on Cerebras WSE, 800+ GB/s.",none,,0,,
Compression kernels,SVD compression,IPDPS,2025,An Adaptive Two-Stage Algorithm for Error-Bounded Scientific Data Compression,Roberto Nuca; Matteo Parsani; George Turkiyyah,cpu,algorithmic,high,2,10.1109/IPDPS64566.2025.00092,https://dblp.org/rec/conf/ipps/NucaPT25,,Two-stage SVD-based error-bounded compressor further compressing singular vectors for higher ratios.,none,,0,,
Dense linear algebra,SVD compression,IPDPS,2025,An Adaptive Two-Stage Algorithm for Error-Bounded Scientific Data Compression,Roberto Nuca; Matteo Parsani; George Turkiyyah,cpu,algorithmic,high,2,10.1109/IPDPS64566.2025.00092,https://dblp.org/rec/conf/ipps/NucaPT25,,Two-stage SVD-based error-bounded compressor further compressing singular vectors for higher ratios.,none,,0,,
Compression kernels,prediction-based lossy compression,IPDPS,2025,Enabling Efficient Error-Controlled Lossy Compression for Unstructured Scientific Data,Xuan Wu; Sheng Di; Congrong Ren; Pu Jiao; Mingze Xia; Cheng Wang et al.,cpu,algorithmic,high,3,10.1109/IPDPS64566.2025.00040,https://dblp.org/rec/conf/ipps/WuDRJXWG0C25,,Prediction-based error-controlled lossy compression framework for unstructured-mesh scientific data.,none,,0,,
Compression kernels,JPEG decoding,IPDPS,2025,Enhanced JPEG Decoding Using PIM Architectures with Parallel MCU Processing,Jieun Kim; Dukyun Nam,other,manual,high,1,10.1109/IPDPS64566.2025.00111,https://dblp.org/rec/conf/ipps/KimN25,,NPD: PIM-based (UPMEM) parallel JPEG decoder exploiting multi-DPU MCU-level parallelism.,likely,https://github.com/jeun-990806/NPD,0,,
Compression kernels,lossy compression; decompression,IPDPS,2025,Fast and Effective Lossy Compression on GPUs and CPUs with Guaranteed Error Bounds,Alex Fallin; Noushin Azami; Sheng Di; Franck Cappello; Martin Burtscher,cpu; nvidia-gpu,manual,high,8,10.1109/IPDPS64566.2025.00083,https://dblp.org/rec/conf/ipps/FallinADCB25,,"PFPL: error-bounded lossy compressor, CPU/GPU-portable, highest throughput and ratio vs 7 compressors",verified,https://github.com/burtscher/PFPL,0,,
Compression kernels,"lossy compression (SZ3, QoZ, MGARD, HPEZ)",IPDPS,2025,Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,Pu Jiao; Sheng Di; Mingze Xia; Xuan Wu; Jinyang Liu 0003; Xin Liang 0001 et al.,cpu; distributed,algorithmic,high,0,10.1109/IPDPS64566.2025.00091,https://dblp.org/rec/conf/ipps/JiaoDXW00C25,,"Quantization-index prediction exploiting correlation, boosts ratio of interpolation-based lossy compressors up to 95%",none,,0,,
Compression kernels,lossy compression; interpolation prediction,SC,2025,Boosting Scientific Error-Bounded Lossy Compression through Optimized Synergistic Lossy-Lossless Orchestration,Shixun Wu; Jinwen Pan; Jinyang Liu 0003; Jiannan Tian; Ziwei Qiu; Jiajun Huang 0001 et al.,nvidia-gpu,algorithmic,high,6,10.1145/3712285.3759798,https://dblp.org/rec/conf/sc/WuP0TQ000DCC25,https://doi.org/10.1145/3712285.3759798,"cuSZ-Hi: GPU lossy compressor combining optimized interpolation + lossless encoding, up to 249% ratio gain",none,,0,,
Compression kernels,lossy compression; decompression,SC,2025,GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,Yafan Huang; Sheng Di; Guanpeng Li; Franck Cappello,nvidia-gpu,manual,high,5,10.1145/3712285.3759817,https://dblp.org/rec/conf/sc/HuangDLC25,https://doi.org/10.1145/3712285.3759817,Versatile ultra-fast GPU lossy compression kernel (VGC) with memory-efficient and selective-decompress modes,verified,https://github.com/szcompressor/cuSZp,0,,
Compression kernels,bitplane encoding; lossless encoding,SC,2025,HP-MDR: High-performance and Portable Data Refactoring and Progressive Retrieval with Advanced GPUs,Yanliang Li; Wenbo Li; Qian Gong; Qing Liu 0002; Norbert Podhorszki; Scott Klasky et al.,nvidia-gpu,manual,high,2,10.1145/3712285.3759845,https://dblp.org/rec/conf/sc/LiLGLPK0C25,https://doi.org/10.1145/3712285.3759845,"GPU-optimized bitplane/lossless encoding kernels for progressive data refactoring, up to 13.7x throughput",none,,0,,
Compression kernels,ANS encoding,SC,2025,MANS: Efficient and Portable ANS Encoding for Multi-Byte Integer Data on CPUs and GPUs,Wenjing Huang 0002; Jinwu Yang; Shengquan Yin; Haoxu Li; Yida Gu; Zedong Liu et al.,cpu; nvidia-gpu; amd-gpu,algorithmic,high,3,10.1145/3712285.3759825,https://dblp.org/rec/conf/sc/HuangYYLGLJWFHT25,https://doi.org/10.1145/3712285.3759825,"Portable ANS lossless encoder with adaptive multi-byte mapping for CPU/GPU, up to 288x GPU speedup",verified,https://github.com/hpdps-group/MANS,11,NOASSERTION,2026-04-04
Compression kernels,lossy compression; progressive decompression; random-access decompression,SC,2025,STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data,Daoce Wang; Pascal Grosset; Jesus Pulido; Jiannan Tian; Tushar M. Athawale; Jinda Jia et al.,cpu,algorithmic,high,1,10.1145/3712285.3759795,https://dblp.org/rec/conf/sc/WangGPTAJS0J0AS25,https://doi.org/10.1145/3712285.3759795,"Streaming lossy compressor with hierarchical partitioning enabling progressive/random-access decode, 6.7x faster than SZ3",none,,0,,
Compression kernels,lossy compression,SC,2025,Stability-preserving Lossy Compression for Large-scale Partial Differential Equations,Qian Gong; Mark Ainsworth; Jieyang Chen; Xin Liang 0001; Liangji Zhu; Ethan Klasky et al.,distributed; amd-gpu,algorithmic,medium,5,10.1145/3712285.3759878,https://dblp.org/rec/conf/sc/GongAC0ZKAL0RK25,https://doi.org/10.1145/3712285.3759878,"Energy-invariant-preserving lossy compressor for PDE checkpoints, 8.4x faster writes on Frontier",none,,0,,
Compression kernels,lossless compression; lossy compression,SC,2025,lsCOMP: Efficient Light Source Compression,Yafan Huang; Sheng Di; Robert Underwood; Peco Myint; Miaoqi Chu; Guanpeng Li et al.,nvidia-gpu,manual,high,3,10.1145/3712285.3759814,https://dblp.org/rec/conf/sc/HuangDUMCLSC25,https://doi.org/10.1145/3712285.3759814,"Single-kernel GPU compressor for light-source X-ray data, up to 509 GB/s, 20x faster than SOTA GPU compressors",verified,https://github.com/szcompressor/lsCOMP,2,NOASSERTION,2026-02-04
Compression kernels,Huffman decoding,DAC,2024,PHD: Parallel Huffman Decoder on FPGA for Extreme Performance and Energy Efficiency,Yunkun Liao; Jingya Wu; Wenyan Lu; Xiaowei Li 0001; Guihai Yan,fpga,manual,high,1,10.1145/3649329.3655967,https://dblp.org/rec/conf/dac/LiaoWL0Y24,https://doi.org/10.1145/3649329.3655967,"FPGA parallel self-synchronizing Huffman decoder: 9.4-12.8x lower latency, 12-18x less energy vs GPU",none,,0,,
Parallel primitives,Huffman decoding,DAC,2024,PHD: Parallel Huffman Decoder on FPGA for Extreme Performance and Energy Efficiency,Yunkun Liao; Jingya Wu; Wenyan Lu; Xiaowei Li 0001; Guihai Yan,fpga,manual,high,1,10.1145/3649329.3655967,https://dblp.org/rec/conf/dac/LiaoWL0Y24,https://doi.org/10.1145/3649329.3655967,"FPGA parallel self-synchronizing Huffman decoder: 9.4-12.8x lower latency, 12-18x less energy vs GPU",none,,0,,
Compression kernels,error-bounded lossy compression; SZ,HPDC,2024,CereSZ: Enabling and Scaling Error-bounded Lossy Compression on Cerebras CS-2,Shihui Song; Yafan Huang; Peng Jiang 0004; Xiaodong Yu 0001; Weijian Zheng; Sheng Di et al.,other,algorithmic,high,13,10.1145/3625549.3658691,https://dblp.org/rec/conf/hpdc/SongHJ0ZDCFXC24,,"SZ error-bounded lossy compression mapped to Cerebras CS-2, up to 773 GB/s",none,,0,,
Compression kernels,lossy compression (prediction + Huffman encoding),IPDPS,2024,CliZ: Optimizing Lossy Compression for Climate Datasets with Adaptive Fine-tuned Data Prediction,Zizhe Jian; Sheng Di; Jinyang Liu 0003; Kai Zhao 0008; Xin Liang 0001; Haiying Xu et al.,cpu,algorithmic,high,10,10.1109/IPDPS57955.2024.00044,https://dblp.org/rec/conf/ipps/JianDL00XUWHCC24,,CliZ: climate-aware data prediction and multi-Huffman encoding improve lossy compression ratio 20-200%,none,,0,,
Compression kernels,error-bounded lossy compression,SC,2024,Accelerating Communication in Deep Learning Recommendation Model Training with Dual-Level Adaptive Lossy Compression,Hao Feng; Boyuan Zhang 0002; Fanjiang Ye; Min Si; Ching-Hsiang Chu; Jiannan Tian et al.,nvidia-gpu,algorithmic,medium,8,10.1109/SC41406.2024.00095,https://dblp.org/rec/conf/sc/FengZYSCTYDHBGT24,,Dual-level adaptive error-bounded lossy compression kernel for DLRM embedding communication,none,,0,,
ML kernels (HPC-crossing),error-bounded lossy compression,SC,2024,Accelerating Communication in Deep Learning Recommendation Model Training with Dual-Level Adaptive Lossy Compression,Hao Feng; Boyuan Zhang 0002; Fanjiang Ye; Min Si; Ching-Hsiang Chu; Jiannan Tian et al.,nvidia-gpu,algorithmic,medium,8,10.1109/SC41406.2024.00095,https://dblp.org/rec/conf/sc/FengZYSCTYDHBGT24,,Dual-level adaptive error-bounded lossy compression kernel for DLRM embedding communication,none,,0,,
Compression kernels,lossy compression; interpolation prediction; Huffman encoding,SC,2024,cuSZ-i: High-Ratio Scientific Lossy Compression on GPUs with Optimized Multi-Level Interpolation,Jinyang Liu 0003; Jiannan Tian; Shixun Wu; Sheng Di; Boyuan Zhang 0002; Robert Underwood et al.,nvidia-gpu,algorithmic,high,17,10.1109/SC41406.2024.00019,https://dblp.org/rec/conf/sc/0003TWD0UHH0LTC24,,cuSZ-i: GPU interpolation-based lossy compressor with much higher compression ratio,none,,0,,
Compression kernels,lossy compression,SC,2024,cuSZp2: A GPU Lossy Compressor with Extreme Throughput and Optimized Compression Ratio,Yafan Huang; Sheng Di; Guanpeng Li; Franck Cappello,nvidia-gpu,algorithmic,high,26,10.1109/SC41406.2024.00021,https://dblp.org/rec/conf/sc/HuangDLC24,,cuSZp2: single-kernel GPU lossy compressor with extreme throughput (~330-500 GB/s),none,,0,,
Compression kernels,homomorphic compression; lossless encoding,SC,2024,hZCCL: Accelerating Collective Communication with Co-Designed Homomorphic Compression,Jiajun Huang 0001; Sheng Di; Xiaodong Yu 0001; Yujia Zhai; Jinyang Liu 0003; Zizhe Jian et al.,cpu; distributed,algorithmic,medium,10,10.1109/SC41406.2024.00110,https://dblp.org/rec/conf/sc/HuangD0Z0J00LCC24,,hZCCL: CPU-optimized homomorphic compressor enabling ops directly on compressed collective data,verified,https://github.com/ZCCLorg/zccl,11,NOASSERTION,2025-07-31
Compression kernels,SZ lossy compression; lossless encoding,TPDS,2024,TAC+: Optimizing Error-Bounded Lossy Compression for 3D AMR Simulations,Daoce Wang; Jesus Pulido; Pascal Grosset; Sian Jin; Jiannan Tian; Kai Zhao 0008 et al.,cpu,algorithmic,high,9,10.1109/TPDS.2023.3339474,https://dblp.org/rec/journals/tpds/WangPGJTZAT24,https://arxiv.org/pdf/2301.01901,TAC+: high-dimensional SZ-based error-bounded lossy compression optimized for 3D AMR data,likely,https://github.com/hipdac-lab/HPDC22-TAC,0,,
Unstructured mesh / AMR / PIC,SZ lossy compression; lossless encoding,TPDS,2024,TAC+: Optimizing Error-Bounded Lossy Compression for 3D AMR Simulations,Daoce Wang; Jesus Pulido; Pascal Grosset; Sian Jin; Jiannan Tian; Kai Zhao 0008 et al.,cpu,algorithmic,high,9,10.1109/TPDS.2023.3339474,https://dblp.org/rec/journals/tpds/WangPGJTZAT24,https://arxiv.org/pdf/2301.01901,TAC+: high-dimensional SZ-based error-bounded lossy compression optimized for 3D AMR data,likely,https://github.com/hipdac-lab/HPDC22-TAC,0,,
Compression kernels,error-bounded lossy compression; quantization; bitshuffle,HPDC,2023,FZ-GPU: A Fast and High-Ratio Lossy Compressor for Scientific Computing Applications on GPUs,Boyuan Zhang 0002; Jiannan Tian; Sheng Di; Xiaodong Yu 0001; Yunhe Feng; Xin Liang 0001 et al.,nvidia-gpu,manual,high,26,10.1145/3588195.3592994,https://dblp.org/rec/conf/hpdc/ZhangTD0F0TC23,https://arxiv.org/pdf/2304.12557,"FZ-GPU fused GPU lossy compressor, 4.2x over cuSZ and 2.3x over cuZFP",verified,https://github.com/szcompressor/FZ-GPU,15,,2026-06-21
Compression kernels,gzip decompression,HPDC,2023,Rapidgzip: Parallel Decompression and Seeking in Gzip Files Using Cache Prefetching,Maximilian Knespel; Holger Brunst,cpu,manual,high,7,10.1145/3588195.3592992,https://dblp.org/rec/conf/hpdc/KnespelB23,https://arxiv.org/pdf/2308.08955,"Rapidgzip parallel gzip decompression via cache prefetching, 55x over gzip on 128 cores",verified,https://github.com/mxmlnkn/rapidgzip,457,Apache-2.0,2025-11-30
Compression kernels,error-bounded lossy compression,ICS,2023,FAZ: A flexible auto-tuned modular error-bounded compression framework for scientific data,Jinyang Liu 0003; Sheng Di; Kai Zhao 0008; Xin Liang 0001; Zizhong Chen; Franck Cappello,cpu,autotuning,high,20,10.1145/3577193.3593721,https://dblp.org/rec/conf/ics/LiuDZ0CC23,,Adaptive auto-tuned modular error-bounded lossy compression framework,verified,https://github.com/JLiu-1/FAZ,0,,
Compression kernels,LZSS,ICS,2023,GPULZ: Optimizing LZSS Lossless Compression for Multi-byte Data on Modern GPUs,Boyuan Zhang 0002; Jiannan Tian; Sheng Di; Xiaodong Yu 0001; Martin Swany; Dingwen Tao et al.,nvidia-gpu,manual,high,19,10.1145/3577193.3593706,https://dblp.org/rec/conf/ics/ZhangTDYSTC23,,"GPU LZSS lossless compression for multi-byte data, high throughput",verified,https://github.com/hpdps-group/ICS23-GPULZ,16,,2025-04-18
Compression kernels,Huffman coding,ICS,2023,Lightweight Huffman Coding for Efficient GPU Compression,Milan Shah; Xiaodong Yu 0001; Sheng Di; Michela Becchi; Franck Cappello,nvidia-gpu,manual,high,10,10.1145/3577193.3593736,https://dblp.org/rec/conf/ics/ShahYDBC23,,Lightweight GPU Huffman coding to speed up cuSZ compression,none,,0,,
Compression kernels,lossy compression (cuSZ/cuSZx pipeline),IPDPS,2023,GPU-Accelerated Error-Bounded Compression Framework for Quantum Circuit Simulations,Milan Shah; Xiaodong Yu 0001; Sheng Di; Danylo Lykov; Yuri Alexeev; Michela Becchi et al.,nvidia-gpu,algorithmic,medium,6,10.1109/IPDPS54959.2023.00081,https://dblp.org/rec/conf/ipps/ShahYDLABC23,,GPU error-bounded compression pipeline (pre/post-processing atop cuSZ/cuSZx) for quantum tensors,none,,0,,
Tensor algebra,lossy compression (cuSZ/cuSZx pipeline),IPDPS,2023,GPU-Accelerated Error-Bounded Compression Framework for Quantum Circuit Simulations,Milan Shah; Xiaodong Yu 0001; Sheng Di; Danylo Lykov; Yuri Alexeev; Michela Becchi et al.,nvidia-gpu,algorithmic,medium,6,10.1109/IPDPS54959.2023.00081,https://dblp.org/rec/conf/ipps/ShahYDLABC23,,GPU error-bounded compression pipeline (pre/post-processing atop cuSZ/cuSZx) for quantum tensors,none,,0,,
Compression kernels,wavelet lossy compression (SPECK/SPERR),IPDPS,2023,Lossy Scientific Data Compression With SPERR,Shaomeng Li; Peter Lindstrom 0001; John P. Clyne,cpu,algorithmic,high,59,10.1109/IPDPS54959.2023.00104,https://dblp.org/rec/conf/ipps/LiLC23,,SPERR: SPECK-wavelet-based lossy scientific data compressor with parallel and point-wise-error modes,verified,https://github.com/NCAR/SPERR,0,,
Compression kernels,ZFP lossy compression; embedded coding,IPDPS,2023,ZFP-X: Efficient Embedded Coding for Accelerating Lossy Floating Point Compression,Bing Lu 0001; Yida Li 0001; Junqi Wang 0002; Huizhang Luo; Kenli Li 0001,cpu,algorithmic,high,7,10.1109/IPDPS54959.2023.00107,https://dblp.org/rec/conf/ipps/LuLWLL23,,Bit-group embedded coding backend for ZFP boosts (de)compression throughput up to 2.5x,verified,https://github.com/BingluCS/ZFP-X,1,BSD-3-Clause,2026-03-31
