venue,year,title,categories,kernels,platform,approach,confidence,cited_by,doi,one_liner,artifact_status,artifact_url,artifact_stars
ASPLOS,2026,Tilus: A Tile-Level GPGPU Programming Language for Low-Precision Computation,ml_kernels; dense_la,low-precision GEMM; dequantization,nvidia-gpu,codegen,high,0,10.1145/3760250.3762219,"Tile-level GPU DSL generating 1-8 bit low-precision GEMM kernels; 1.75x over Triton, beats Marlin",verified,https://github.com/NVIDIA/tilus,489
ASPLOS,2026,Trinity: Three-Dimensional Tensor Program Optimization via Tile-level Equality Saturation,ml_kernels; tensor,fused attention; tensor operator fusion,nvidia-gpu,codegen,high,0,10.1145/3779212.3790240,Tile-level equality-saturation tensor compiler finding FlashAttention-like fusions; 2.09x over TensorRT,none,,0
ASPLOS,2026,XY-Serve: End-to-End Versatile Production Serving for Dynamic LLM Workloads,ml_kernels; dense_la,attention; GEMM,other; nvidia-gpu,manual,medium,0,10.1145/3760250.3762228,"Ascend NPU serving with meta-primitive attention/GEMM kernels; kernel records, 14.6-21.5% faster",none,,0
ASPLOS,2026,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,compression; dense_la; ml_kernels,fused decompression-GEMM; lossless decompression,nvidia-gpu,manual,high,0,10.1145/3779212.3790250,Tensor-core-aware lossless weight compression with fused decompress-GEMM kernel; 2.21x over cuBLAS,verified,https://github.com/xxyux/ZipServ,6
ASPLOS,2026,cuJSON: A Highly Parallel JSON Parser for GPUs,primitives,JSON parsing,nvidia-gpu,algorithmic,medium,0,10.1145/3760250.3762222,"Branch-minimal, highly parallel JSON parsing algorithm and kernel for GPUs",verified,https://github.com/AutomataLab/cuJSON,101
CGO,2026,Compilation of Generalized Matrix Chains with Symbolic Sizes,dense_la,matrix chain multiplication; BLAS/LAPACK kernel sequencing,cpu,codegen,high,0,10.1109/CGO68049.2026.11395236,Multi-versioning codegen selects near-optimal BLAS/LAPACK kernel sequences for symbolic-size matrix chains,verified,https://github.com/HPAC/gmc_code_gen,0
CGO,2026,Enabling Automatic Compiler-Driven Vectorization of Transformers,ml_kernels; primitives,reduction; transpose; transformer ops,cpu,codegen,high,1,10.1109/CGO68049.2026.11395226,"MLIR passes auto-vectorize Transformer reduction/transpose ops for RISC-V, beating manual libs by 59%",none,,0
CGO,2026,Fast Autoscheduling for Sparse ML Frameworks,sparse_la; tensor; ml_kernels,sparse-dense tensor ops; SpMM,other,autotuning,high,0,10.1109/CGO68049.2026.11394842,"Scorch autoschedules sparse tensor loop order/tiling/format for PyTorch, matching hand-tuned kernels",none,,0
CGO,2026,Hexcute: A Compiler Framework for Automating Layout Synthesis in GPU Programs,dense_la; ml_kernels,GEMM; FlashAttention; MoE,nvidia-gpu,codegen,high,0,10.1109/CGO68049.2026.11395194,"Hexcute auto-synthesizes GPU tensor layouts, matching cuBLAS/FlashAttention, 6.46x over Triton on MoE",verified,https://github.com/hexcute/hexcute-bench,4
CGO,2026,LEGO: A Layout Expression Language for Code Generation of Hierarchical Mapping,dense_la,GEMM,nvidia-gpu,codegen,medium,1,10.1109/CGO68049.2026.11394846,"LEGO: layout-expression codegen deriving GPU kernel indexing (Triton/MLIR/CUDA), perf competitive with Triton",none,,0
CGO,2026,Multidirectional Propagation of Sparsity Information across Tensor Slices,tensor; sparse_la,einsum / tensor contraction,cpu,codegen,high,0,10.1109/CGO68049.2026.11395229,"SPA static analysis in TACO propagates sparsity across tensor slices, cutting memory and runtime",none,,0
CGO,2026,PriTran: Privacy-Preserving Inference for Transformer-Based Language Models under Fully Homomorphic Encryption,dense_la,ciphertext-plaintext matmul; ciphertext-ciphertext matmul,cpu,algorithmic,high,0,10.1109/CGO68049.2026.11395232,PriTran: new algorithms/data layouts speed up CKKS ciphertext matrix-multiply kernels for BERT by ~25%,none,,0
CGO,2026,Progressive Low-Precision Approximation of Tensor Operators on GPUs: Enabling Greater Trade-Offs between Performance and Accuracy,dense_la; ml_kernels,GEMM,nvidia-gpu,autotuning,high,0,10.1109/CGO68049.2026.11395227,Platensor generates tile-level mixed-precision GEMM kernels via rule-based+evolutionary search,none,,0
CGO,2026,Pushing Tensor Accelerators beyond MatMul in a User-Schedulable Language,dense_la; stencil_pde,image filtering/downsampling via Tensor Cores,nvidia-gpu; cpu,codegen,medium,0,10.1109/CGO68049.2026.11395214,"Halide-based compiler maps non-MatMul image pipelines onto tensor accelerators, 6.1x on downsampling",none,,0
CGO,2026,QIGen: A Kernel Generator for Inference on Nonuniformly Quantized Large Language Models,dense_la; ml_kernels,matrix-vector product (quantized GEMV),cpu,codegen,high,0,10.1109/CGO68049.2026.11395231,QIGen generates CPU matrix-vector kernels for nonuniformly quantized LLM inference,verified,https://github.com/IST-DASLab/QIGen,28
CGO,2026,Selene: Cross-Level Barrier-Free Pipelining for Irregular Nested Loops in High-Level Synthesis,graph,irregular nested-loop / graph kernels,fpga,codegen,medium,0,10.1109/CGO68049.2026.11395206,"Selene HLS compiler adds barrier-free pipelining for irregular loops, 4.7-5.5x over static/dynamic HLS",none,,0
CGO,2026,Synthesizing Specialized Sparse Tensor Accelerators for FPGAs via High-Level Functional Abstractions,sparse_la; graph,sparse matrix-vector/matrix ops; graph algorithms,fpga,codegen,high,0,10.1109/CGO68049.2026.11395225,"HLS functional abstractions auto-generate structure-specialized sparse FPGA accelerators, up to 2.8x",none,,0
CGO,2026,Tawa: Automatic Warp Specialization for Modern GPUs with Asynchronous References,dense_la; ml_kernels,GEMM; FlashAttention,nvidia-gpu,codegen,high,0,10.1109/CGO68049.2026.11394849,"Tawa auto-generates warp-specialized GPU kernels, matching cuBLAS GEMM and CUTLASS FlashAttention-3",none,,0
CGO,2026,Tensor Program Superoptimization through Cost-Guided Symbolic Program Synthesis,tensor,tensor programs,cpu,codegen,high,0,10.1109/CGO68049.2026.11395198,"Symbolic superoptimizer for tensor DSL programs; 3.8x over NumPy, 1.6x over JAX/PyTorch-Inductor",none,,0
HPDC,2026,BCCE: Block-Centric GPU Co-Design for Real-Time Range-Top-K Query at Scale,primitives,range-top-k,nvidia-gpu,manual,high,0,10.1145/3806645.3807585,Block-centric GPU kernels for real-time range-top-k queries with reuse across ranges,none,,0
HPDC,2026,Endeavor: Efficient PairHMM for Detection of DNA Variants in Genome-Scale Datasets,primitives,PairHMM,cpu; nvidia-gpu; amd-gpu,manual,high,0,10.1145/3806645.3807593,"Row-level SIMD PairHMM parallelization for variant calling, up to ~2x over GKL/GPU SOTA",none,,0
HPDC,2026,"POLAR-PIC: A Holistic Framework for Matrixized PIC with Co-Designed Compute, Layout, and Communication",unstructured_amr,field interpolation; particle deposition; PIC,distributed; cpu,manual,medium,0,10.1145/3806645.3807574,"Matrixized PIC: MPU-friendly outer-product field interpolation and deposition, up to 13x",none,,0
HPDC,2026,TZ: Achieving High-Ratio Scientific Data Compression on GPUs with Global Data Decomposition,compression; tensor; dense_la,lossy compression; Tucker decomposition; randomized SVD,nvidia-gpu,algorithmic,high,0,10.1145/3806645.3807811,"GPU error-bounded lossy compressor via global Tucker decomposition, ~10x higher ratio",none,,0
HPDC,2026,UniEP: Unified Expert-Parallel MegaKernel MoE for LLM Training,ml_kernels,MoE megakernel; grouped GEMM,nvidia-gpu; distributed,manual,low,0,10.1145/3806645.3807818,Unified expert-parallel MegaKernel for MoE LLM training with numerical stability,none,,0
HPDC,2026,νMG-LPA and νBM-LPA: Memory Efficient GPU-based Label Propagation Algorithms (LPA) for Community Detection,graph,label propagation,nvidia-gpu,manual,high,0,10.1145/3806645.3807602,"Memory-efficient GPU label propagation via MG/BM sketches, 98x less memory",none,,0
ICS,2026,AdaPolySI: Adaptive Polynomial Filtered Subspace Iteration for Hermitian Interior Eigenvalue Problems,dense_la,eigensolver; polynomial filtered subspace iteration,,algorithmic,low,0,10.1145/3797905.3800553,Adaptive polynomial-filtered subspace iteration for Hermitian interior eigenvalues (no abstract),none,,0
ICS,2026,BLEST: Blazingly Efficient BFS using Tensor Cores,graph; sparse_la,BFS; SpMSpV,nvidia-gpu,manual,high,0,10.1145/3797905.3800531,"Tensor-Core accelerated pull-based BFS via bitmap SpMSpV, 3.6-4.9x over Gunrock/GSWITCH",verified,https://github.com/delbek/blest,10
ICS,2026,C-3PQ: A Closeness Centrality-based Circuit Partitioner for Quantum Simulations,tensor,quantum state-vector simulation,cpu; nvidia-gpu; amd-gpu; distributed,codegen,medium,0,10.1145/3797905.3807864,C-3PQ: closeness-centrality circuit partitioning plus portable code generator compiling optimized quantum state-vector sim kernels (Intel/AMD/NVIDIA/ARM),none,,0
ICS,2026,CORE-BFS: Communication-Optimized REctangular-partitioned BFS Achieving 160.845 TeraTEPS on Frontier Supercomputer,graph,BFS,amd-gpu; distributed,manual,high,0,10.1145/3797905.3800549,"Rectangular 2D-partitioned distributed BFS with DCSR formats and degree-aware kernels, 160.8 TTEPS on Frontier",none,,0
ICS,2026,Cheetah: Optimizing Execution Pipelines for Matrix-Free Finite Element Operators on GPUs,stencil_pde,matrix-free FEM operator,nvidia-gpu,manual,high,0,10.1145/3797905.3807857,"Kernel-level pipeline redesign for matrix-free FE operators, up to 50% faster diffusion on A100",none,,0
ICS,2026,CipherSkip: Efficient Sparse Matrix Multiplication with FHE,sparse_la,SpGEMM (FHE),cpu,algorithmic,medium,0,10.1145/3797905.3807876,"CipherSkip: sparsity-aware SIMD SpGEMM scheme under FHE, up to ~1200x speedup over sparsity-blind FHE baselines",none,,0
ICS,2026,Communication-Avoiding SpGEMM via Trident Partitioning on Hierarchical GPU Interconnect,sparse_la,SpGEMM,nvidia-gpu; distributed,algorithmic,high,0,10.1145/3797905.3800543,"Hierarchy-aware trident-partitioned communication-avoiding distributed SpGEMM, up to 2.38x",verified,https://github.com/HicrestLaboratory/Trident,0
ICS,2026,Diagonal-Budgeted Trotterization for Efficient Quantum Hamiltonian Simulation,sparse_la,Hamiltonian simulation; sparse matvec,cpu; nvidia-gpu,manual,high,0,10.1145/3797905.3807869,"Diagonal-sparse data layout and CUDA/SIMD kernels for classical Hamiltonian sim, huge speedups over Qiskit-Aer",verified,https://github.com/srikarchundury/diaq_for_hamsim,0
ICS,2026,DynSpAttn: Efficient Attention via Dual-Side Dynamic Sparsity on Sparse Tensor Cores,ml_kernels; sparse_la,sparse attention; SpMM,nvidia-gpu,manual,high,0,10.1145/3797905.3800548,"Dual-side 2:4 sparse attention on Sparse Tensor Cores in fused kernel, 1.70x over FlashAttention",none,,0
ICS,2026,EPLoN: Exploiting Efficient Parallelism with Selective Rematerialization for Lightning Attention on Ascend NPU,ml_kernels,Lightning Attention; linear attention,other,manual,high,0,10.1145/3797905.3800540,"Lightning (linear) attention kernel with rematerialization on Ascend NPU, up to 3.39x over FLA",none,,0
ICS,2026,GPZ: GPU-Accelerated Lossy Compressor for Particle Data,compression,lossy compression,nvidia-gpu,manual,high,1,10.1145/3797905.3800524,"GPU error-bounded lossy compressor for particle data, up to 8x throughput over SOTA",none,,0
ICS,2026,InferFast: Bridging the Gap Between Unstructured LLM Sparsity and Practical GPU Throughput,sparse_la; ml_kernels,SpMM,nvidia-gpu,manual,high,0,10.1145/3797905.3800530,"Tensor-Core bitmap sparse format (CDP-TCBE) + SpMM for unstructured LLM sparsity, 2.01x over dense GEMM",verified,https://github.com/MLsys-HPC/InferFast,1
ICS,2026,MPMOS: Massively Parallel Multi-Objective Shortest Paths,graph,multi-objective shortest path,nvidia-gpu,algorithmic,high,0,10.1145/3797905.3800547,"First GPU exact multi-objective shortest-path kernel, order-of-magnitude over CPU parallel MOS",none,,0
ICS,2026,Non-Delayed Cholesky Factorization,dense_la,Cholesky factorization,nvidia-gpu,algorithmic,high,0,10.1145/3797905.3800554,Non-delayed-update Cholesky factorization closing GEMM performance gap on GPU,none,,0
ICS,2026,OCTANE: Breaking the Neighbor-List Bottleneck in GPU Molecular Dynamics,nbody_md,neighbor list; MD force,nvidia-gpu,manual,low,0,10.1145/3797905.3807878,Breaking the neighbor-list bottleneck in GPU molecular dynamics,none,,0
ICS,2026,Ocean: Fast Estimation-Based Sparse General Matrix-Matrix Multiplication on GPU,sparse_la,SpGEMM,nvidia-gpu,algorithmic,high,0,10.1145/3797905.3807868,"Estimation-based GPU SpGEMM replacing symbolic pass with HyperLogLog, 1.4-2.8x on A100/H100",verified,https://github.com/CornellHPC/Ocean-SpGEMM,6
ICS,2026,Optimizing Streaming Tensor Decomposition on GPU,tensor,streaming CPD; MTTKRP,nvidia-gpu,manual,high,0,10.1145/3797905.3807865,GPU-optimized streaming CP tensor decomposition for dynamic sparse tensors,none,,0
ICS,2026,Parallel Bidirectional A* Search for GPU-Accelerated Pathfinding,graph,A* search; shortest path,nvidia-gpu,algorithmic,high,0,10.1145/3797905.3805620,Parallel bidirectional A* for GPU pathfinding overcoming priority-queue serialization,verified,https://github.com/HadiKhansaa/BBAStar,1
ICS,2026,Parallel Quadratic Selected Inversion in Quantum Transport Simulation,solver_components; sparse_la,selected inversion; block-tridiagonal solve,cpu; nvidia-gpu; distributed,algorithmic,high,0,10.1145/3797905.3807841,"Distributed parallel selected inversion + quadratic solve (RGF) for quantum transport, >10x over PARDISO",none,,0
ICS,2026,PolyKAN: A High-Performance and Universal GPU Operator Library for Polynomial Kolmogorov-Arnold Networks,ml_kernels,KAN operator,nvidia-gpu,manual,high,0,10.1145/3797905.3800535,"Fused CUDA operator library for polynomial KAN layers, 1.2-10x over Triton+cuBLAS",none,,0
ICS,2026,Rethinking Collision Detection on GPU Ray Tracing Architecture,nbody_md; primitives,collision detection; fixed-radius neighbor search,nvidia-gpu,algorithmic,high,0,10.1145/3797905.3807836,GPU ray-tracing-core discrete collision detection for varying-radius particles,verified,https://github.com/MDurgaKeerthi/Mochi-DCD-on-RT,1
ICS,2026,WindStencil: Unleashing GPU Potential for High-Order Stencil Computation in High-Performance Inviscid CFD Simulations,stencil_pde,high-order stencil,nvidia-gpu,manual,low,0,10.1145/3797905.3807849,"GPU-optimized high-order stencil kernels for inviscid CFD (title-only, no abstract)",verified,https://github.com/BabyXPrince/WindStencil,2
ICS,2026,X-HD: Fast Hausdorff Distance Computation with Ray Tracing,primitives,Hausdorff distance; k-NN,nvidia-gpu,algorithmic,high,0,10.1145/3797905.3800509,"RT-core + CUDA Hausdorff-distance kernel, 5.3x over ITK",verified,https://github.com/pwrliang/X-HD,0
ICS,2026,cuMIS: A Unified Scalable Framework for Computing Maximal Independent Sets on Trillion-Edge Graphs,graph,maximal independent set,nvidia-gpu; distributed,algorithmic,high,0,10.1145/3797905.3800529,Scalable single/multi-GPU/distributed maximal independent set on trillion-edge graphs,none,,0
ICS,2026,quEStab: Towards Scalable Quantum Circuit Simulation on Multi-GPU using an Extended Stabilizer Formalism,tensor,stabilizer-formalism quantum circuit simulation,nvidia-gpu; distributed,algorithmic,low,0,10.1145/3797905.3816723,quEStab: scalable multi-GPU quantum circuit simulation via extended stabilizer formalism (no abstract; title-based judgment),none,,0
IPDPS,2026,Accelerating AI Compression through Lightweight Lossless Encoding and Pipelined Workflows,compression,lossless encoding; image compression pipeline,nvidia-gpu,manual,medium,0,10.1109/IPDPS65963.2026.00056,AIZ: lightweight lossless encoding plus pipelined workflow speeds up AI-based image compression 3.1-9.6x,none,,0
IPDPS,2026,Accelerating High-Frequency Electromagnetic Scattering Prediction with KNN-Augmented Radial Basis Function Networks,stencil_pde; ml_kernels,localized RBF evaluation; KNN search,nvidia-gpu; distributed,algorithmic,low,0,10.1109/IPDPS65963.2026.00060,"KRBFNet: KNN-localized RBF centers cut PIRBN complexity O(NM) to O(Nk), 2.55x single-GPU / 7.02x 8-GPU speedup",none,,0
IPDPS,2026,Accelerating Sparse-Sparse-Dense Graph Matrix Operator using Asynchronous Execution in GPUs,sparse_la; ml_kernels,SSD (Sparse-Sparse-Dense) matrix operator; SpMM,nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00048,"Async decoupled GPU execution for MaxK sparse-sparse-dense GNN operator, ~50% faster on H100.",none,,0
IPDPS,2026,Achieving Low Latency Inference on High Resolution Images by Exploiting Sparsity in Vision Transformers,ml_kernels,sparse attention,nvidia-gpu,autotuning,high,0,10.1109/IPDPS65963.2026.00070,"Tile-aware ILP scheduling for sparse ViT attention, up to 2.1x over FlashAttention fixed tiling.",verified,https://github.com/KLab-AI3/ipdps-26_vit,0
IPDPS,2026,BAAS: A Bidirectional Aggregation and Affinity-Aware Scheduling Framework for Parallelizing Sparse Matrix Computations,sparse_la; solver_components,SpTRSV; SpIC0; SpILU0,cpu,manual,high,0,10.1109/IPDPS65963.2026.00098,BAAS: bidirectional aggregation and affinity-aware scheduling speed SpTRSV/SpIC0/SpILU0 on multicore CPUs.,none,,0
IPDPS,2026,Communication-Avoiding Linear Algebraic Kernel K-Means on GPUs,dense_la; sparse_la,Kernel K-means; distributed GEMM/SpGEMM primitives,nvidia-gpu; distributed,algorithmic,high,0,10.1109/IPDPS65963.2026.00030,"1.5D communication-avoiding distributed LA algorithms scale Kernel K-means to 256 GPUs, 79.7% weak-scaling eff.",verified,https://github.com/CornellHPC/Vivaldi,0
IPDPS,2026,DFA-SpTRSV: A Depth-First Asynchronous Algorithm for Sparse Triangular Solver,sparse_la,SpTRSV,cpu; arm-cpu,manual,high,0,10.1109/IPDPS65963.2026.00016,DFA-SpTRSV: DFS task aggregation with async scheduling speeds SpTRSV on CPUs up to 2.98x over SpMP/HDagg.,none,,0
IPDPS,2026,DSTree: Data-Driven Synchronous Traversals for Decision Forests on GPUs,ml_kernels,decision-forest inference; tree traversal,nvidia-gpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00043,"DSTree: data-driven worklist traversal for GPU decision-forest inference, up to 5.3x over RAPIDS FIL.",none,,0
IPDPS,2026,Demystifying ARM SME to Optimize General Matrix Multiplications,dense_la,GEMM,arm-cpu,manual,high,0,10.1109/IPDPS65963.2026.00102,"MPGEMM exploits ARM SME for multi-precision GEMM, 1.23x over Apple Accelerate on M4 Pro.",verified,https://github.com/mpgemm/MPGEMM,0
IPDPS,2026,Designing Domain-Specific Compilers for Lossy Compression: A Case Study on Wafer-Scale Engine,compression,lossy compression; decompression,other; cpu,codegen,high,0,10.1109/IPDPS65963.2026.00092,"P3Z: domain-specific compiler generates lossy-compression kernels for Cerebras WSE, 1.24-1.5x over hand-written CSL.",none,,0
IPDPS,2026,ESCHER: Efficient and Scalable Hypergraph Evolution Representation with Application to Triad Counting,graph,triad counting; hypergraph data structure,nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00041,"ESCHER: GPU data structure for dynamic hypergraph triad counting, up to 473.7x speedup.",none,,0
IPDPS,2026,FFCz: Fast Fourier Correction for Spectrum-Preserving Lossy Compression of Scientific Data,fft_spectral; compression,FFT; lossy compression,nvidia-gpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00023,FFCz: GPU-accelerated FFT-based error correction preserves both spatial and frequency accuracy in lossy compression.,verified,https://github.com/rcrcarissa/FFCz,2
IPDPS,2026,Fast Entropy Decoding for Sparse MVM on GPUs,sparse_la; compression,SpMV; entropy coding (ANS),nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00044,"dtANS entropy coding compresses CSR sparse matrices for GPU SpMV, up to 3.48x speedup over cuSPARSE.",none,,0
IPDPS,2026,FastTT: Accelerating Shift-XOR Erasure Coding for Data Storage,primitives,erasure coding (shift-XOR),cpu,manual,high,0,10.1109/IPDPS65963.2026.00049,"FastTT: cache-friendly, vectorized shift-XOR erasure coding, up to 84%/182% faster encode/decode than ISA-L.",none,,0
IPDPS,2026,GPU Algorithms for Biconnected Components on Large Graphs,graph,biconnected components,nvidia-gpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00018,"GPU edge-pruning algorithms enable out-of-core biconnected components, up to 71x over SOTA GPU baseline.",verified,https://github.com/Abhijeetkumar96/FAST-BCC-on-GPUs,0
IPDPS,2026,GPU-Accelerated Approximate Nearest Neighbor Search via PCA-Augmented Graph Indexing for Vector Databases,primitives,approximate nearest neighbor search; graph indexing (HNSW/CAGRA),cpu; nvidia-gpu,algorithmic,medium,0,10.1109/IPDPS65963.2026.00032,PCA-augmented HNSW/CAGRA graph indexing cuts GPU memory 39% for approximate nearest-neighbor search.,none,,0
IPDPS,2026,GPU-Accelerated Multilevel Graph Clustering: A Parallel Perspective on Louvain and Leiden,graph,Louvain clustering; Leiden clustering,nvidia-gpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00020,"pLouvain/pLeiden: GPU parallel Louvain/Leiden graph clustering, up to 8.8x over fastest open-source CPU code.",none,,0
IPDPS,2026,GPU-Native Compressed Neighbor Lists with a Space-Filling-Curve Data Layout,nbody_md,neighbor list construction,nvidia-gpu; amd-gpu,manual,high,0,10.1109/IPDPS65963.2026.00042,"GPU-native SFC-compressed neighbor list for particle interactions, <4B/particle, matches GROMACS performance.",none,,0
IPDPS,2026,High-Order-Preserving Acceleration of a Shallow-Water Dynamical Core Using Tensor Units,stencil_pde; dense_la; ml_kernels,3D stencil (shallow-water dynamical core); Tensor Core GEMM,nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00040,"Ozaki-scheme FP16 Tensor Cores accelerate high-order shallow-water stencil dynamical core, up to 4.34x speedup.",verified,https://github.com/jnyao/ozHOPE,0
IPDPS,2026,High-performance Vector-length Agnostic Quantum Circuit Simulations on ARM Processors,tensor,quantum state-vector simulation,arm-cpu,manual,high,0,10.1109/IPDPS65963.2026.00080,"Vector-length-agnostic quantum state-vector simulation kernels for ARM SVE/RISC-V RVV, up to 4.5x speedup.",none,,0
IPDPS,2026,Just-in-Time Convolution and GEMM Code Generation for SIMD Architectures,dense_la,GEMM; convolution,cpu,codegen,high,0,10.1109/IPDPS65963.2026.00093,"RVjit: JIT-generated vectorized GEMM/convolution microkernels for RVV/SVE, up to 1.53x over oneDNN backends.",none,,0
IPDPS,2026,LibraryX: A Framework for Cross-Library-Call Optimization,dense_la,library-call sequence fusion,nvidia-gpu; amd-gpu; intel-gpu,codegen,medium,0,10.1109/IPDPS65963.2026.00097,"LibraryX uses SPIRAL codegen to fuse cross-library call DAGs, speeding memory-bound kernels on NVIDIA/AMD/Intel GPUs.",none,,0
IPDPS,2026,Mitigating Artifacts in Pre-quantization Based Scientific Data Compressors with Quantization-aware Interpolation,compression,lossy compression (quantization-aware interpolation),cpu; distributed,algorithmic,high,0,10.1109/IPDPS65963.2026.00024,Quantization-aware interpolation fixes artifacts in pre-quantization lossy compressors while keeping high throughput.,none,,0
IPDPS,2026,Near-Zero Cost KV Cache Compression for Large Language Model Inference,compression; ml_kernels,KV-cache compression; quantization,nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00058,"Vayne: unified GPU kernel fusing quantization and lossless encoding for KV-cache, 8.4x speedup over baseline.",none,,0
IPDPS,2026,Organic Mergesort and Finger Buffer-Tree Sort: Adaptive Sorting Algorithms with External-Memory or Parallel Implementations,primitives,mergesort; buffer-tree sort,cpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00029,Adaptive parallel/external-memory mergesort & buffer-tree sort matching optimal entropy bounds,none,,0
IPDPS,2026,PackKV: Reducing KV Cache Memory Footprint through LLM-Aware Lossy Compression,compression; ml_kernels,KV-cache lossy compression; GEMV,nvidia-gpu,manual,medium,0,10.1109/IPDPS65963.2026.00057,LLM-aware lossy KV-cache compression that also accelerates matrix-vector multiply vs cuBLAS,verified,https://github.com/BoJiang03/PackKV,8
IPDPS,2026,Parallel Integer and Learning-Augmented Sorting Algorithms in the Binary-Forking Model,primitives,integer sort; learning-augmented sort,cpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00026,Optimal parallel integer/learning-augmented sorting algorithms in the binary-forking model,none,,0
IPDPS,2026,Parallel Louvain Algorithms with Convergence Guarantee,graph,Louvain community detection,cpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00019,OpenMP parallel Louvain with provable convergence via community versioning,verified,https://github.com/erdemUB/IPDPS26,0
IPDPS,2026,Rebo: Locality-Aware Graph Processing via Reordering and Blocking,graph,graph reordering; cache blocking,cpu,algorithmic,high,0,10.1109/IPDPS65963.2026.00088,Unified graph reordering + matrix blocking framework beating best framework by 1.54x,none,,0
IPDPS,2026,SLEEK: Compressing Memory Copies for Floating-Point Data on GPUs,compression,floating-point memory compression,nvidia-gpu; cpu,manual,high,0,10.1109/IPDPS65963.2026.00022,SLEEK: fast lossy/lossless FP memory-copy compression rivaling GPU memcpy speed,none,,0
